Winner,title_bout,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,weight_class_Flyweight,weight_class_Bantamweight,weight_class_Featherweight,weight_class_Lightweight,weight_class_Welterweight,weight_class_Middleweight,weight_class_LightHeavyweight,weight_class_Heavyweight,weight_class_WomenStrawweight,weight_class_WomenFlyweight,weight_class_WomenBantamweight,weight_class_WomenFeatherweight,weight_class_CatchWeight,weight_class_OpenWeight,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_Sideways,B_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_Sideways,R_Stance_Open Stance
Red,False,0.665181696,0.0,0.52316774912,0.41327578624,0.6889239244800001,0.022705919999999994,0.0,0.269113344,0.0,0.0,96.563236352,50.89314662399999,73.194966528,30.026462208,150.07299635200002,89.266701824,100.19445094399998,50.441571328,2.5973729280000004,1.7177538559999999,3.5336140800000004,0.06303743999999999,67.296555008,26.753947648,50.73937100799999,12.662972416,21.270186496,16.454803968,12.894700032000001,9.28636672,7.996494848,7.684395008000001,9.560895488,8.077123072000001,73.65008179200001,37.607378944,64.07666431999999,24.70127104,7.571236864,6.305961984,8.158430207999999,4.531207168,15.341917696,6.979805696000001,0.959872,0.793984,324.70595328,54.18210304,800.0707829759999,26,0,1,0,4,7,3,0,0,1,4,2,0,0,170.18,182.88,155.0,0.006718463999999999,0.419421696,0.5114447104,0.45382046208000004,0.36199527936,0.00373248,0.011197439999999998,0.0,0.0,0.0,96.746861568,49.583561728,106.404758528,47.81334579200001,129.027114496,78.86730188800001,118.24597248,58.360949248000004,14.446811135999999,5.673256448,0.35202816000000003,0.031103999999999993,85.746535424,41.14336256,80.121590784,28.365519872,8.3531264,5.974821888,22.457842688,16.086574080000002,2.647199744,2.46537728,3.825325055999999,3.36125184,78.083385856,36.696550912,92.644007936,35.78912,3.532141568,2.9691975680000002,5.0637312,3.8412544,15.131334144,9.917813248,8.697019392,8.182971392,288.931771904,45.490326016000004,829.791387648,27,0,0,1,4,7,3,0,0,1,2,3,1,0,177.8,177.8,155.0,30.0,34.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Red,False,0.0,0.5237248,0.6322732799999999,0.5893525759999999,0.0900288,0.10506239999999999,0.0,0.28224,0.0,0.0,26.859699199999994,16.8720768,39.681216,22.375692800000003,38.5086848,27.210201599999998,49.020864,31.035174399999995,1.4130432,0.25263359999999996,0.8941823999999999,0.5253120000000001,21.86368,12.496025600000001,33.5784448,17.049024000000003,3.4758144,3.0958463999999997,4.4667775999999995,3.7839872000000003,1.5202048000000001,1.2802048,1.6359936000000002,1.5426816,15.090982399999998,7.630041599999999,18.8140032,8.613478399999998,5.9314176,5.2391808,3.8645888,3.2849024,5.8372991999999995,4.0028543999999995,17.002624,10.477312000000001,45.1929216,95.72889599999999,249.64056319999997,12,0,1,0,1,3,5,0,0,0,0,3,0,0,185.42,187.96,185.0,0.144,0.0,0.6230399999999999,0.7292000000000001,0.132,0.536,0.45599999999999996,0.0,0.24,0.0,42.936,24.928,30.896,18.168,56.768,36.06400000000001,50.480000000000004,36.256,2.16,1.2,1.496,0.856,31.216,16.648,22.96,12.712,8.144,4.944,4.696000000000001,2.616,3.5760000000000005,3.3360000000000003,3.24,2.84,28.048000000000002,14.584,20.688000000000002,9.408000000000001,1.576,1.096,0.24,0.24,13.312000000000001,9.248000000000001,9.968,8.52,86.11200000000001,89.24000000000001,316.024,6,0,0,1,2,2,2,0,0,0,1,1,0,0,193.04,195.58,185.0,31.0,31.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Blue,False,0.0,0.0,0.488,0.466,0.3,0.0,0.0,0.0,0.0,0.0,152.60000000000002,71.0,159.39999999999998,75.0,179.39999999999998,89.2,211.6,121.8,2.8,1.2,1.2,0.0,122.0,48.8,107.39999999999999,39.6,17.4,12.0,33.2,20.4,13.200000000000001,10.2,18.8,15.0,147.0,66.4,156.39999999999998,72.6,2.5999999999999996,2.1999999999999997,3.0,2.4,3.0,2.4,0.0,0.0,228.8,6.0,900.0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,160.02,157.48,115.0,0.0,0.0,0.48200000000000004,0.32,0.0,0.066,0.0,0.0,0.0,0.0,138.0,67.8,173.8,59.599999999999994,154.4,82.4,186.8,68.4,1.8000000000000003,0.0,5.3999999999999995,0.6,99.2,43.4,119.80000000000001,24.200000000000003,28.6,18.200000000000003,38.6,27.2,10.2,6.2,15.400000000000002,8.2,127.80000000000001,58.6,157.4,50.2,9.6,8.6,9.2,5.2,0.6,0.6,7.199999999999999,4.2,28.0,102.8,900.0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,157.48000000000002,157.48,115.0,33.0,29.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Red,False,0.0,0.0,0.47,0.46,0.35,0.0,0.0,0.0,0.0,0.0,70.0,33.0,67.0,31.0,126.0,73.0,106.0,68.0,14.0,5.0,3.0,0.0,48.0,21.0,40.0,9.0,13.0,10.0,13.0,10.0,9.0,2.0,14.0,12.0,39.0,8.0,54.0,24.0,26.0,22.0,13.0,7.0,5.0,3.0,0.0,0.0,559.0,14.0,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,187.96,187.96,205.0,0.5068038258688,0.678742376448,0.45106872820203514,0.46655546871480313,0.014691273523199997,0.09391820414976,0.0,0.0010448555212799996,0.0,0.0,87.67860358250496,43.51597879984128,83.49847518511105,38.99806909530112,94.58859462049793,49.17954805121025,88.05951570591745,43.35149899988992,0.43803389952,0.06545608703999999,2.22938705969152,0.23921834508287995,65.56694484467712,25.85942360096768,69.74818411675648,28.51746585329664,8.63337824452608,6.56997857984512,6.3687792364748805,4.838759594557439,13.47828049330176,11.086576619028481,7.3815118318796795,5.64184364744704,80.49465964019713,38.35827882835968,77.38842894286847,35.136570784645116,6.15453107339264,4.7356992413696,4.16403564281856,2.89080258428928,1.0294128689152,0.422000730112,1.9460105994240002,0.97069572636672,39.0973388079104,36.660178340085764,594.8769588278067,35,0,0,2,4,8,7,0,0,0,3,5,0,0,190.5,193.04,205.0,32.0,37.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Red,False,0.010077695999999999,0.144,0.46903108403199995,0.575916603392,0.8004090880000001,0.14336781312,0.2520932352,0.3526050816,0.284540928,0.0,70.9437024256,34.705833574399996,49.97114071040001,31.970549248,98.494104576,59.0646049792,69.87856957439999,50.750550425600004,3.4339526655999997,1.9693312,2.3001167872,0.33132134399999996,52.1608930304,19.527921561600003,33.6930036736,18.1486055424,12.013184819200001,9.1590688768,12.58699264,10.897365708799999,6.769624576,6.018843136,3.6911443968,2.9245779968,50.2783639552,19.0722494464,33.1609416704,17.360507904000002,12.233664512,9.5905830912,13.07585536,11.473121792,8.431673958400001,6.0430010368,3.7343436800000003,3.136919552,175.9259618304,69.9567612928,493.9525768192,25,1,3,0,3,8,3,0,0,1,2,2,2,1,180.34,182.88,135.0,0.0,0.011197439999999998,0.42677932523520007,0.5276714708992,0.2846971723776,0.10910061568,0.8211806208000001,0.0,0.0,0.24,86.76509980672,37.891512913919996,107.8309888,57.440996392959995,142.07749177344002,85.19242590208,172.6765469696,109.65245216768,1.7701130649599999,0.97143533568,4.38541592576,0.8558710784000001,67.66339684352,24.9563593728,74.51977132032,29.413082767360002,11.78384904192,6.0228036198399995,22.59610077184,18.61225951232,7.317853921279999,6.912349921280001,10.71511670784,9.41565411328,77.82171824128,29.905391616000003,76.44188665856001,32.94233878528,7.03160881152,6.081604485120001,14.427203256320002,12.4511253504,1.9117727539200002,1.9045168128000003,16.96189888512,12.04753225728,229.95481694208,305.25677291520003,974.7380680704,37,0,4,0,4,8,4,0,0,3,4,0,1,0,172.72,172.72,135.0,33.0,33.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
Blue,False,0.24,0.0,0.6639974399999999,0.3311616,0.08785152,0.248544,0.15552000000000002,1.20064,0.43110400000000004,0.08639999999999999,24.380991999999996,14.712000000000003,24.194304000000002,9.3664,43.309888,29.412416000000004,42.963072000000004,25.794303999999997,3.45728,0.592704,0.665856,0.40665599999999996,10.263935999999998,4.290176,16.078272000000002,4.530304,7.190847999999999,4.340416,4.379136,3.063168,6.926208,6.081408000000001,3.736896,1.772928,17.733696000000002,10.178111999999999,20.527232,6.430848,3.8379519999999996,2.722048,1.3823999999999999,1.2384,2.8093440000000003,1.8118400000000001,2.284672,1.697152,116.417024,70.846464,302.396032,13,0,1,0,2,4,3,0,0,1,0,2,1,0,175.26,180.34,155.0,0.031103999999999993,0.018662399999999996,0.44631910399999997,0.48254246399999995,0.097262592,0.7517216,0.6287872000000001,0.6189312,0.24,0.0,143.8546176,65.6526464,127.5989888,60.6818048,213.348608,121.9166848,195.73359359999998,111.91687679999998,1.3830144,0.390336,4.312064,3.2161408,106.12152320000001,38.061504,101.0294784,40.257024,26.3660288,18.332928000000003,17.496806399999997,13.1479168,11.3670656,9.2582144,9.072704,7.276864,127.9459072,54.6333312,102.32993280000001,41.276928,14.728025599999999,10.046336,12.0787968,9.5695232,1.1806847999999999,0.9729791999999998,13.1902592,9.835353600000001,116.64392959999999,347.0739072,834.0408576,21,0,0,4,1,2,6,0,0,0,1,0,1,0,180.34,177.8,155.0,29.0,38.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Blue,False,0.0,0.0,0.5436000000000001,0.39480000000000004,0.32,0.288,1.12,0.6,0.7200000000000001,0.6,30.200000000000003,15.96,24.16,9.600000000000001,53.120000000000005,38.879999999999995,45.4,29.759999999999994,2.92,1.28,1.7999999999999998,1.44,18.32,7.159999999999999,21.32,7.76,6.119999999999999,3.4400000000000004,2.12,1.48,5.76,5.359999999999999,0.72,0.36,19.880000000000003,9.84,16.96,4.8,1.2,0.6,0.24,0.24,9.120000000000001,5.52,6.960000000000001,4.56,199.04000000000002,315.84,618.4,7,0,0,1,2,2,1,0,0,0,1,0,1,0,172.72,175.26,125.0,0.0,0.24,0.41759999999999997,0.33480000000000004,0.46,0.18,1.76,0.72,0.36,0.0,40.28,16.68,20.0,10.08,72.6,42.16,47.04,33.16,1.3599999999999999,0.64,2.88,1.44,30.28,10.2,11.08,3.36,3.6799999999999997,3.4400000000000004,6.16,4.56,6.319999999999999,3.0399999999999996,2.76,2.16,28.720000000000002,9.48,17.48,8.639999999999999,0.0,0.0,0.24,0.0,11.56,7.2,2.28,1.44,111.60000000000001,182.68,470.15999999999997,5,0,0,1,2,2,1,0,0,0,0,0,2,0,170.18,172.72,125.0,33.0,32.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Blue,False,0.4,0.08639999999999999,0.4379776,0.6058304,0.253152,0.23808,0.57024,0.08639999999999999,0.0,0.24,39.00896,19.43584,50.06815999999999,31.991680000000002,43.293440000000004,23.04448,73.60672,51.82656,2.42688,0.5740799999999999,2.4681600000000006,1.632,33.843199999999996,15.77664,34.45664,18.69184,3.7238400000000005,2.21728,13.047360000000001,11.19744,1.44192,1.44192,2.5641599999999998,2.1024,32.07136,14.51104,38.2464,21.54272,5.3376,3.7248,10.516160000000001,9.62336,1.6,1.2000000000000002,1.3056,0.8255999999999999,78.79776000000001,206.37312,445.47999999999996,12,0,0,1,1,3,3,0,0,0,0,1,2,0,177.8,182.88,170.0,0.6,0.0,0.46599999999999997,0.36,0.032,0.0,0.0,0.4,0.0,0.4,150.60000000000002,70.4,121.8,48.60000000000001,159.4,77.4,126.2,53.0,5.4,0.4,0.4,0.0,98.60000000000001,33.4,113.2,44.2,25.200000000000003,15.0,8.2,4.0,26.799999999999997,22.0,0.4,0.4,141.2,64.8,120.4,47.8,6.4,4.4,1.4,0.8,3.0,1.2,0.0,0.0,101.4,0.0,497.4,4,0,1,0,1,1,1,0,0,0,0,1,0,0,177.8,182.88,170.0,32.0,26.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Red,False,0.05183999999999999,0.0,0.46353466880000005,0.4407987199999999,0.24,0.20328000000000002,0.152478567825408,0.09983692799999999,0.0,0.0,72.23285555199999,33.0,70.12707839999999,30.550424576,95.36,51.54016,91.85437439999998,47.744,2.0,0.7523958784,2.1999999999999997,0.76,55.76583162576896,20.3968,53.583384576,18.04,8.600000000000001,6.0,8.843776,5.928000000000001,5.199999999999999,4.215232,5.428386248851456,4.33412769086387,55.44,21.191008784305186,55.0,20.32,5.6000000000000005,3.7504,5.231999999999999,3.519812096,5.0,3.4572268488206213,3.8,2.592,101.0,96.0,640.22302464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,175.26,155.0,0.0,0.0,0.458,0.37,0.864,0.096,0.0,0.4,0.0,0.0,111.2,47.2,66.4,23.8,114.60000000000001,48.2,69.19999999999999,25.8,1.8000000000000003,1.4,3.9999999999999996,0.6,102.19999999999999,40.599999999999994,47.4,14.8,6.0,4.2,8.8,5.2,3.0,2.4,10.2,3.8,102.6,43.199999999999996,61.6,19.6,5.6,3.0000000000000004,3.5999999999999996,3.0,3.0,1.0,1.2,1.2,93.8,69.0,625.6,4,0,1,0,1,1,1,0,0,1,0,0,0,0,177.8,185.42000000000002,155.0,24.0,29.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Blue,False,0.0,0.08639999999999999,0.5349375999999999,0.5544127999999999,0.38046080000000004,0.5019232,0.97984,0.7081599999999999,1.344,0.688,76.6368,42.274879999999996,60.11744,34.38208,131.8192,91.6944,72.46208,44.42336,2.60672,1.01632,8.22432,3.5270400000000004,46.48416,19.735680000000002,45.005759999999995,20.5152,19.9168,14.15872,12.388800000000002,11.351360000000001,10.23584,8.38048,2.72288,2.51552,49.76096,21.61888,37.526720000000005,17.07872,11.90816,8.57216,13.53472,11.02496,14.96768,12.083840000000002,9.056000000000001,6.2783999999999995,176.05568,254.25696,647.2656,14,0,0,1,3,4,2,0,0,0,2,0,2,0,177.8,180.34,145.0,0.004031078399999999,0.160861623681024,0.5532680668020735,0.4557207378712985,0.26777383826620416,0.15307891945472002,0.39942716994355204,0.038195512934399996,0.0,0.271104,69.8923977142436,39.81560011014144,49.12234357689549,23.277672999485436,82.79105332998964,49.8972430739374,57.17440132015718,27.273376074498046,0.6785590938501119,0.389099847745536,3.2859960503173125,0.696086020784128,61.03378702313063,33.60145638847283,42.02870079943475,17.77314084995072,6.264122646921216,4.086252036685823,3.5196223916933116,2.484694425665536,2.5944880441917437,2.127891684982784,3.574020385767424,3.019837723869184,53.28418618785791,24.89757602460467,45.59829218970829,20.864099588308992,7.405908086587392,6.11855916990464,1.3865511698104318,1.034579778895872,9.202303439798273,8.799464915632129,2.137500217376768,1.3789936322805758,41.409566480302075,38.6292869725225,267.6336379550761,31,0,1,0,3,9,7,0,0,2,1,2,4,0,185.42,187.96,145.0,28.0,35.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
